1-time		2-纬度L		3-经度λ		4-高度h		5-velocity_x		6-velocity_y		7-velocity_z		
0.010000000		0.523602392		1.745330322		999.135976648		1200.066689898		-0.093010646		-0.169658745		
0.020000000		0.523602062		1.745332298		992.663966254		1199.887261149		0.095346558		0.106311349		
0.030000000		0.523603395		1.745329493		1010.212670593		1199.992133600		-0.052250838		0.110390576		
0.040000000		0.523606844		1.745329909		1004.736486633		1200.184116983		0.110203416		-0.076875465		
0.050000000		0.523607100		1.745329042		1009.528055118		1199.862546342		-0.078036831		0.031126503		
0.060000000		0.523610779		1.745330557		1001.184814003		1200.009790632		-0.074038138		-0.101864946		
0.070000000		0.523606899		1.745328770		1005.135806894		1200.127009849		-0.004337800		-0.135407035		
0.080000000		0.523613715		1.745329003		1006.516156917		1199.972938955		0.244997163		0.068503648		
0.090000000		0.523616296		1.745331785		997.862034528		1199.949457150		0.076096103		-0.052953312		
0.100000000		0.523618076		1.745329717		995.549144010		1199.933905520		-0.001234795		0.123005915		
0.110000000		0.523616734		1.745327009		1020.492549685		1200.085754589		0.191547511		-0.102780600		
0.120000000		0.523622746		1.745331109		985.667232066		1199.861920071		-0.079124525		0.081796721		
0.130000000		0.523622180		1.745331576		1002.942505130		1200.087520137		0.022672004		0.011232894		
0.140000000		0.523625831		1.745328356		989.492993540		1199.892902135		-0.061628656		-0.101068675		
0.150000000		0.523630297		1.745328118		1009.899760627		1200.049232224		-0.056754223		-0.064812840		
0.160000000		0.523628463		1.745325862		1005.676490737		1199.796152714		0.049370253		-0.059609807		
0.170000000		0.523632982		1.745330565		995.703846314		1200.042697372		0.019339673		0.076401381		
0.180000000		0.523632334		1.745332704		989.358214752		1199.955512046		0.112393104		0.001933403		
0.190000000		0.523635761		1.745329436		1027.623388113		1200.060141668		0.011578102		-0.140328481		
0.200000000		0.523636345		1.745330338		993.384751008		1200.066865218		-0.154960170		0.024389514		
0.210000000		0.523636726		1.745332817		997.526127082		1200.005733877		0.094551696		0.199915632		
0.220000000		0.523642692		1.745331048		981.624685268		1199.866811999		0.054210085		0.060905162		
0.230000000		0.523643617		1.745330059		979.919226444		1199.994090904		-0.000922697		-0.077025549		
0.240000000		0.523643213		1.745325691		990.755334986		1200.124932891		-0.142029991		0.075650995		
0.250000000		0.523645553		1.745331702		1011.206613907		1200.048352422		0.096652286		0.001702131		
0.260000000		0.523648524		1.745329196		994.080416815		1200.013307149		0.014879275		-0.078272048		
0.270000000		0.523648089		1.745328111		999.717481498		1199.994998779		0.071812206		-0.135631101		
0.280000000		0.523654109		1.745329889		1000.715969156		1200.084310452		0.007007010		0.034498272		
0.290000000		0.523655142		1.745328791		996.623772272		1200.094723509		-0.033280071		-0.107303513		
0.300000000		0.523656757		1.745328290		1001.957878614		1199.986386162		0.025615510		-0.056427222		
0.310000000		0.523660988		1.745328871		996.167570662		1200.036933028		-0.211393834		-0.004949439		
0.320000000		0.523661460		1.745328850		993.742685215		1200.039181010		0.066920980		-0.018547982		
0.330000000		0.523663069		1.745328329		988.797864307		1199.921912146		0.069606826		-0.015349890		
0.340000000		0.523662997		1.745330170		998.828763720		1200.034867346		-0.079464931		0.056978322		
0.350000000		0.523665468		1.745329349		997.260385979		1199.894753176		0.026067828		0.021930806		
0.360000000		0.523667566		1.745330207		995.978056930		1199.969589430		-0.016238586		0.210964366		
0.370000000		0.523668839		1.745330658		996.623352549		1199.867480915		0.147808489		0.128947102		
0.380000000		0.523672237		1.745329986		983.853535628		1200.008423046		-0.108738354		0.019325460		
0.390000000		0.523671829		1.745330527		1021.153907213		1199.951329171		-0.077436768		0.042091003		
0.400000000		0.523673653		1.745330563		992.426526606		1199.886804694		0.192007687		0.106271288		
0.410000000		0.523676506		1.745330466		998.306113702		1199.864580875		-0.035966281		0.089242008		
0.420000000		0.523678642		1.745329319		1022.042345179		1200.282608294		0.053446145		-0.022684533		
0.430000000		0.523682812		1.745329204		1006.789855963		1199.885560647		-0.035851202		0.124211979		
0.440000000		0.523680729		1.745331198		1013.889823935		1199.935993535		0.065272734		-0.084950427		
0.450000000		0.523684377		1.745327855		985.328996636		1199.908383913		0.096086489		0.095613001		
0.460000000		0.523686686		1.745329328		1006.305415641		1199.940219834		0.179650167		-0.164067114		
0.470000000		0.523688697		1.745333652		1007.540482721		1199.959690333		-0.088925172		-0.046135306		
0.480000000		0.523691768		1.745327874		1007.466677723		1199.879321170		0.088618446		-0.044481769		
0.490000000		0.523691482		1.745331413		1001.153523601		1199.757389461		0.051024658		-0.024110938		
0.500000000		0.523693338		1.745329011		988.395745954		1200.000008746		0.147364419		0.074505658		
0.510000000		0.523698243		1.745328542		1010.902259392		1200.056796641		-0.017383928		0.215193687		
0.520000000		0.523696210		1.745330496		1008.297233763		1200.007686815		-0.069989212		-0.017215726		
0.530000000		0.523699386		1.745324720		1007.400425715		1200.006720930		-0.022061695		0.136891718		
0.540000000		0.523700911		1.745327102		1021.036957729		1200.080542353		-0.048424736		-0.016907624		
0.550000000		0.523703002		1.745331287		1000.176789198		1200.070013805		-0.068715288		-0.087688110		
0.560000000		0.523705854		1.745329939		995.126237580		1199.987532175		0.045022753		-0.069109410		
0.570000000		0.523705294		1.745332161		1003.753287474		1200.096114406		-0.000742717		0.027429679		
0.580000000		0.523709680		1.745330659		1000.945285847		1199.925852389		0.007097254		-0.046489762		
0.590000000		0.523709476		1.745331044		1000.300256063		1199.927968280		-0.045219289		-0.016084658		
0.600000000		0.523713107		1.745331862		983.960480980		1200.065528390		-0.039622525		0.091387241		
0.610000000		0.523715648		1.745330031		1005.673564534		1199.968269316		0.020159915		-0.104813791		
0.620000000		0.523715839		1.745329443		1016.523123092		1199.876419537		0.081455198		0.096259930		
0.630000000		0.523718089		1.745330530		998.721016342		1200.017895169		-0.078472027		0.003153362		
0.640000000		0.523718840		1.745331989		1000.990857653		1199.906522856		0.077462184		-0.031900144		
0.650000000		0.523722912		1.745330662		989.365615118		1200.050868664		-0.037095916		0.056624478		
0.660000000		0.523724245		1.745326914		985.389039795		1200.052400927		0.030147711		0.044617574		
0.670000000		0.523724267		1.745330722		991.757641299		1200.034867386		0.062135682		-0.052265477		
0.680000000		0.523727809		1.745329829		1009.673729038		1199.878540555		-0.036853713		-0.024104800		
0.690000000		0.523730827		1.745329901		989.303251381		1199.956645320		0.072952050		0.059554148		
0.700000000		0.523733088		1.745329455		1013.340158701		1200.076357625		0.024768158		-0.000931699		
0.710000000		0.523734335		1.745330514		999.153227265		1199.951071518		0.156314928		0.108449773		
0.720000000		0.523735721		1.745324939		993.100629574		1200.075150907		-0.003838644		0.016897543		
0.730000000		0.523738413		1.745328561		1002.568255665		1200.044907795		-0.094453876		0.023337621		
0.740000000		0.523736533		1.745331375		994.848014751		1199.910878851		-0.101240716		-0.029711199		
0.750000000		0.523740014		1.745327191		996.569002196		1200.111046179		0.009378187		0.024838985		
0.760000000		0.523744555		1.745330547		996.341088066		1200.072532284		0.060660149		-0.055315763		
0.770000000		0.523745869		1.745331627		981.162156352		1200.017839410		0.041361794		-0.084968690		
0.780000000		0.523747687		1.745330795		1031.939989297		1200.123955010		0.111353008		-0.080364454		
0.790000000		0.523745556		1.745330127		992.394705021		1199.999902356		0.155772874		0.014756366		
0.800000000		0.523747909		1.745331046		1007.790271159		1200.107714765		0.010009155		-0.040059680		
0.810000000		0.523751434		1.745328076		995.117173037		1200.113041946		0.027243148		0.191618665		
0.820000000		0.523754902		1.745326885		977.417097812		1199.877067285		-0.083525782		-0.053926589		
0.830000000		0.523752089		1.745327202		1003.856483921		1200.134472090		-0.030535650		0.058316307		
0.840000000		0.523756997		1.745328637		999.864080657		1199.951409455		-0.061829648		-0.036503542		
0.850000000		0.523757710		1.745328631		998.244792828		1199.959743918		0.034173144		0.074778909		
0.860000000		0.523758722		1.745329870		979.742247809		1199.792973547		-0.096081715		-0.072170476		
0.870000000		0.523763619		1.745328153		995.302582246		1200.208453494		0.247324372		0.163230694		
0.880000000		0.523765016		1.745328437		990.189876159		1200.037973030		0.140485225		0.132340511		
0.890000000		0.523770345		1.745331236		1013.097583721		1199.957885645		0.078724525		0.186140837		
0.900000000		0.523769041		1.745329507		995.088541321		1200.098497226		-0.067728016		-0.070673284		
0.910000000		0.523771513		1.745327453		981.582483151		1199.844772392		-0.078236611		-0.175988865		
0.920000000		0.523773778		1.745330023		1001.050776055		1200.022224717		0.082211863		0.064584583		
0.930000000		0.523774937		1.745325677		1002.465907027		1200.004691910		-0.156868123		-0.006625276		
0.940000000		0.523774171		1.745329330		998.252528037		1200.021089217		-0.038334041		0.076791840		
0.950000000		0.523781133		1.745327908		998.871827445		1199.984234098		-0.098062228		0.112930681		
0.960000000		0.523781138		1.745327043		990.260636191		1199.967260261		-0.129252749		-0.140526247		
0.970000000		0.523779916		1.745329980		1032.822861659		1200.096428531		0.074737296		-0.051374118		
0.980000000		0.523783289		1.745330485		981.857972362		1199.968434544		0.011771403		-0.017267402		
0.990000000		0.523783683		1.745327044		988.205826874		1200.094848108		-0.033706034		-0.061402062		
1.000000000		0.523790666		1.745331075		1006.697000547		1199.906449415		0.145300117		-0.063609480		
1.010000000		0.523787647		1.745329706		1006.412865762		1200.030111196		0.046055757		0.029660585		
1.020000000		0.523794180		1.745329593		1006.566675807		1200.074408307		-0.021727378		0.047869631		
1.030000000		0.523793430		1.745331102		1015.005148777		1199.988973370		0.073642545		0.055004267		
1.040000000		0.523794811		1.745328220		999.977965735		1199.880637901		-0.046448705		0.047290465		
1.050000000		0.523795351		1.745329849		1003.712163731		1199.978539748		0.017116279		0.005036360		
1.060000000		0.523800596		1.745328711		999.324125708		1200.037740971		-0.018256815		-0.074157439		
1.070000000		0.523804590		1.745327996		993.732715488		1200.025365835		0.097207219		0.073466053		
1.080000000		0.523802003		1.745328232		1001.706227267		1200.097093627		0.079015382		-0.025497507		
1.090000000		0.523804669		1.745330951		1005.085479626		1200.042521439		0.112715525		-0.055541610		
1.100000000		0.523806559		1.745328681		1003.348561989		1200.079547645		-0.053129181		-0.011096662		
1.110000000		0.523808287		1.745330954		979.909876917		1200.175407510		0.085482198		-0.131011399		
1.120000000		0.523812640		1.745328781		1019.474041269		1199.899063357		0.043608037		0.131495529		
1.130000000		0.523812909		1.745331204		994.751964354		1200.159487739		0.079564705		-0.150877258		
1.140000000		0.523816677		1.745329579		999.872863033		1199.946938151		0.069108330		0.013107509		
1.150000000		0.523816528		1.745329407		1000.176988609		1199.990649656		0.073899562		-0.020345070		
1.160000000		0.523817891		1.745326987		1005.421486226		1200.020571652		0.054812735		0.196886366		
1.170000000		0.523819813		1.745328192		996.917793277		1200.013962888		0.111098119		-0.040746700		
1.180000000		0.523822236		1.745326353		1007.967255144		1199.942510270		-0.051087051		0.037044965		
1.190000000		0.523824815		1.745329381		993.570200882		1199.899066530		-0.022202816		0.089535353		
1.200000000		0.523826496		1.745328685		1007.713890584		1200.045933413		0.034661130		-0.076773787		
1.210000000		0.523827107		1.745327632		1008.838178101		1200.030699457		-0.089515816		-0.007765008		
1.220000000		0.523830954		1.745328911		994.228538992		1199.968513634		-0.041401996		-0.156377843		
1.230000000		0.523830605		1.745330543		983.155012836		1200.129373604		-0.088906147		0.107644385		
1.240000000		0.523834251		1.745329719		994.633694669		1200.094225730		0.043346589		0.076623946		
1.250000000		0.523835452		1.745331911		1000.495899355		1200.085037189		0.079898813		-0.076725034		
1.260000000		0.523835203		1.745326489		989.975291586		1199.915929615		0.229269085		0.083891730		
