1-·ÉÐÐÊ±¼ät		2-acc_x		3-acc_y		4-acc_z		5-gyro_x		6-gyro_y		7-gyro_z		
0.010000000		0.000107522		0.000056489		0.000100929		-0.000000056		-0.000001049		-0.000000623		
0.020000000		-0.000037365		0.000017594		-0.000080810		0.000000122		0.000000112		-0.000000481		
0.030000000		0.000038166		-0.000076613		-0.000112067		0.000000052		0.000000403		-0.000000456		
0.040000000		0.000008143		-0.000018205		0.000110080		0.000000278		-0.000000329		-0.000000851		
0.050000000		-0.000016353		-0.000096664		-0.000027137		-0.000000148		-0.000000206		-0.000000694		
0.060000000		0.000070531		-0.000244817		-0.000121593		-0.000000243		-0.000000043		-0.000000645		
0.070000000		0.000263005		-0.000153751		0.000077624		-0.000001405		-0.000000370		-0.000001284		
0.080000000		0.000265046		0.000050448		-0.000033949		-0.000000541		-0.000000592		-0.000000892		
0.090000000		0.000144831		0.000055428		-0.000085450		-0.000000774		-0.000000191		-0.000000261		
0.100000000		0.000015895		-0.000124308		-0.000134796		-0.000001075		-0.000000026		-0.000000663		
0.110000000		-0.000141866		-0.000047317		0.000001779		-0.000000694		-0.000000185		-0.000001390		
0.120000000		-0.000134818		-0.000056838		-0.000234165		0.000000053		0.000000113		0.000000194		
0.130000000		0.000098524		-0.000175789		-0.000249652		-0.000001107		0.000000239		-0.000000376		
0.140000000		-0.000317879		0.000005505		-0.000388414		-0.000000137		-0.000000702		-0.000001028		
0.150000000		-0.000086251		-0.000197478		-0.000351938		-0.000001043		-0.000000220		-0.000001110		
0.160000000		-0.000259248		-0.000317188		-0.000228030		-0.000000494		0.000000211		-0.000001115		
0.170000000		-0.000142621		-0.000043508		-0.000359964		-0.000001155		-0.000000480		-0.000001852		
0.180000000		-0.000207299		-0.000326482		-0.000269883		-0.000001124		-0.000000365		-0.000000402		
0.190000000		-0.000249018		-0.000081436		-0.000398905		-0.000001205		-0.000000328		-0.000000366		
0.200000000		-0.000187600		0.000018775		-0.000310213		-0.000000531		-0.000000310		-0.000001913		
0.210000000		-0.000236937		-0.000092736		-0.000456321		-0.000000638		-0.000000089		-0.000001153		
0.220000000		-0.000055160		-0.000259289		-0.000326143		-0.000000056		-0.000000489		-0.000000975		
0.230000000		-0.000158201		-0.000076478		-0.000385705		0.000000620		-0.000000546		-0.000001419		
0.240000000		-0.000071653		-0.000186599		-0.000329150		-0.000001136		-0.000000172		-0.000000209		
0.250000000		-0.000081890		-0.000010658		-0.000338479		-0.000000010		0.000000185		-0.000001025		
0.260000000		-0.000076665		-0.000242395		-0.000473036		-0.000000381		-0.000001275		-0.000001199		
0.270000000		-0.000016698		-0.000386555		-0.000415016		-0.000000675		-0.000001336		-0.000001008		
0.280000000		0.000031923		0.000064523		-0.000529841		0.000000612		-0.000001463		-0.000000979		
0.290000000		0.000146542		-0.000208509		-0.000305628		-0.000000080		-0.000000388		-0.000000840		
0.300000000		-0.000133546		-0.000004732		-0.000479618		-0.000000133		-0.000002260		-0.000000468		
0.310000000		0.000191041		-0.000266069		-0.000243874		0.000000330		-0.000000631		-0.000000477		
0.320000000		-0.000087690		-0.000115158		-0.000337322		0.000000347		-0.000001393		-0.000000412		
0.330000000		0.000006615		-0.000005542		-0.000352533		0.000000931		-0.000001929		-0.000000408		
0.340000000		-0.000098632		-0.000085199		-0.000147467		-0.000000351		-0.000001227		-0.000001952		
0.350000000		-0.000006385		-0.000134339		-0.000289717		-0.000000224		-0.000000074		-0.000000474		
0.360000000		0.000058869		-0.000106131		-0.000301658		0.000000222		-0.000002000		-0.000002249		
0.370000000		0.000020985		-0.000095556		-0.000279298		0.000000233		-0.000001798		-0.000001626		
0.380000000		0.000221782		-0.000118888		-0.000337426		-0.000000634		-0.000001654		-0.000001055		
0.390000000		0.000165143		-0.000037147		-0.000409447		-0.000001613		-0.000001520		-0.000002579		
0.400000000		0.000152851		0.000061681		-0.000450136		-0.000000961		-0.000001579		-0.000001039		
