1-飞行时间t		2-纬度L		3-经度λ		4-高度h		5-速度vx		6-速度vy		7-速度vz		8-滚转γ		9-偏航ψ		10-俯仰φ		
0.010000000		0.523600665		1.745329252		1000.000000000		1200.000003291		0.000000292		0.000001171		0.000000008		-0.000000010		0.000000000		
0.020000000		0.523602554		1.745329252		1000.000000003		1200.000004610		0.000000384		0.000001339		0.000000006		-0.000000007		0.000000002		
0.030000000		0.523604443		1.745329252		1000.000000007		1200.000005424		-0.000000966		0.000000809		0.000000014		-0.000000008		0.000000011		
0.040000000		0.523606332		1.745329252		999.999999997		1200.000005959		-0.000001323		0.000001586		0.000000024		-0.000000006		0.000000007		
0.050000000		0.523608221		1.745329252		999.999999984		1200.000007489		-0.000002800		0.000000285		0.000000021		-0.000000011		-0.000000002		
0.060000000		0.523610110		1.745329252		999.999999956		1200.000008833		-0.000002997		0.000003028		0.000000025		-0.000000017		-0.000000001		
0.070000000		0.523611999		1.745329252		999.999999926		1200.000009384		-0.000003161		0.000004109		0.000000024		-0.000000015		-0.000000007		
0.080000000		0.523613888		1.745329252		999.999999894		1200.000011840		-0.000002949		0.000005894		0.000000023		-0.000000014		-0.000000015		
0.090000000		0.523615777		1.745329252		999.999999865		1200.000012894		-0.000004082		0.000007283		0.000000028		-0.000000012		-0.000000020		
0.100000000		0.523617666		1.745329252		999.999999824		1200.000013478		-0.000003118		0.000007395		0.000000029		-0.000000010		-0.000000011		
0.110000000		0.523619555		1.745329252		999.999999793		1200.000014052		-0.000003190		0.000006503		0.000000032		-0.000000007		-0.000000009		
0.120000000		0.523621444		1.745329252		999.999999761		1200.000012454		-0.000005342		0.000008077		0.000000035		-0.000000007		-0.000000012		
0.130000000		0.523623333		1.745329252		999.999999707		1200.000011401		-0.000004669		0.000007820		0.000000036		0.000000002		-0.000000007		
0.140000000		0.523625222		1.745329252		999.999999661		1200.000012371		-0.000004252		0.000009348		0.000000038		0.000000017		-0.000000006		
0.150000000		0.523627111		1.745329252		999.999999618		1200.000012526		-0.000005794		0.000009912		0.000000044		0.000000024		-0.000000012		
0.160000000		0.523629000		1.745329252		999.999999560		1200.000010305		-0.000006560		0.000010110		0.000000046		0.000000034		-0.000000014		
0.170000000		0.523630889		1.745329252		999.999999495		1200.000010354		-0.000005766		0.000010472		0.000000055		0.000000036		-0.000000013		
0.180000000		0.523632778		1.745329252		999.999999437		1200.000011551		-0.000005623		0.000011038		0.000000068		0.000000052		-0.000000025		
0.190000000		0.523634668		1.745329252		999.999999381		1200.000009674		-0.000005752		0.000013020		0.000000076		0.000000061		-0.000000015		
0.200000000		0.523636557		1.745329252		999.999999323		1200.000010220		-0.000005186		0.000014457		0.000000082		0.000000069		-0.000000011		
0.210000000		0.523638446		1.745329252		999.999999271		1200.000009351		-0.000004646		0.000016763		0.000000092		0.000000077		-0.000000014		
0.220000000		0.523640335		1.745329252		999.999999225		1200.000010224		-0.000005554		0.000018275		0.000000094		0.000000083		-0.000000004		
0.230000000		0.523642224		1.745329252		999.999999169		1200.000010768		-0.000005157		0.000020317		0.000000112		0.000000083		-0.000000001		
0.240000000		0.523644113		1.745329252		999.999999118		1200.000011800		-0.000005089		0.000022812		0.000000114		0.000000085		-0.000000004		
0.250000000		0.523646002		1.745329252		999.999999067		1200.000012338		-0.000005788		0.000024462		0.000000112		0.000000089		-0.000000001		
0.260000000		0.523647891		1.745329252		999.999999009		1200.000010831		-0.000006545		0.000026284		0.000000121		0.000000096		-0.000000003		
0.270000000		0.523649780		1.745329252		999.999998944		1200.000009093		-0.000006457		0.000027208		0.000000134		0.000000098		0.000000004		
0.280000000		0.523651669		1.745329252		999.999998879		1200.000009195		-0.000006837		0.000027386		0.000000141		0.000000095		0.000000009		
0.290000000		0.523653558		1.745329252		999.999998811		1200.000008392		-0.000006285		0.000028464		0.000000141		0.000000101		0.000000007		
0.300000000		0.523655447		1.745329252		999.999998748		1200.000006808		-0.000005237		0.000028955		0.000000141		0.000000107		0.000000015		
0.310000000		0.523657336		1.745329252		999.999998696		1200.000004095		-0.000005549		0.000029531		0.000000144		0.000000112		0.000000011		
0.320000000		0.523659225		1.745329252		999.999998640		1200.000004065		-0.000005958		0.000028893		0.000000147		0.000000115		0.000000022		
0.330000000		0.523661114		1.745329252		999.999998580		1200.000005708		-0.000004763		0.000030681		0.000000159		0.000000112		0.000000032		
0.340000000		0.523663003		1.745329252		999.999998533		1200.000006016		-0.000004397		0.000032703		0.000000169		0.000000108		0.000000033		
0.350000000		0.523664892		1.745329252		999.999998489		1200.000006208		-0.000003063		0.000033998		0.000000176		0.000000109		0.000000032		
0.360000000		0.523666781		1.745329252		999.999998458		1200.000005071		-0.000001571		0.000034009		0.000000179		0.000000108		0.000000036		
0.370000000		0.523668670		1.745329252		999.999998443		1200.000005535		-0.000000803		0.000033786		0.000000182		0.000000121		0.000000035		
0.380000000		0.523670559		1.745329252		999.999998434		1200.000004994		0.000000099		0.000033430		0.000000185		0.000000121		0.000000034		
0.390000000		0.523672448		1.745329252		999.999998435		1200.000005028		-0.000000131		0.000035036		0.000000195		0.000000134		0.000000040		
0.400000000		0.523674337		1.745329252		999.999998434		1200.000002938		-0.000000394		0.000034969		0.000000189		0.000000148		0.000000044		
0.410000000		0.523676227		1.745329252		999.999998430		1200.000001381		0.000000095		0.000035813		0.000000199		0.000000154		0.000000039		
0.420000000		0.523678116		1.745329252		999.999998431		1199.999997793		0.000001024		0.000037237		0.000000194		0.000000158		0.000000037		
0.430000000		0.523680005		1.745329252		999.999998441		1199.999994636		0.000001885		0.000036699		0.000000197		0.000000161		0.000000031		
0.440000000		0.523681894		1.745329252		999.999998460		1199.999991694		0.000003701		0.000037692		0.000000199		0.000000165		0.000000035		
0.450000000		0.523683783		1.745329252		999.999998497		1199.999989462		0.000003400		0.000038571		0.000000200		0.000000176		0.000000031		
0.460000000		0.523685672		1.745329252		999.999998531		1199.999983354		0.000004808		0.000037389		0.000000204		0.000000189		0.000000023		
0.470000000		0.523687561		1.745329252		999.999998579		1199.999980229		0.000005289		0.000034531		0.000000208		0.000000202		0.000000012		
0.480000000		0.523689450		1.745329252		999.999998632		1199.999978559		0.000006693		0.000032927		0.000000210		0.000000219		-0.000000002		
0.490000000		0.523691339		1.745329252		999.999998699		1199.999977899		0.000010988		0.000031777		0.000000198		0.000000231		-0.000000011		
0.500000000		0.523693228		1.745329252		999.999998809		1199.999973162		0.000013911		0.000030779		0.000000198		0.000000250		-0.000000026		
0.510000000		0.523695117		1.745329252		999.999998948		1199.999970787		0.000016321		0.000029101		0.000000198		0.000000261		-0.000000041		
0.520000000		0.523697006		1.745329252		999.999999111		1199.999968327		0.000019752		0.000028782		0.000000198		0.000000277		-0.000000048		
0.530000000		0.523698895		1.745329252		999.999999309		1199.999965004		0.000022478		0.000028522		0.000000194		0.000000276		-0.000000061		
0.540000000		0.523700784		1.745329252		999.999999534		1199.999960911		0.000025092		0.000028724		0.000000199		0.000000287		-0.000000079		
0.550000000		0.523702673		1.745329252		999.999999785		1199.999958250		0.000027447		0.000027752		0.000000192		0.000000299		-0.000000084		
0.560000000		0.523704562		1.745329252		1000.000000059		1199.999954521		0.000028916		0.000026848		0.000000199		0.000000318		-0.000000097		
0.570000000		0.523706451		1.745329252		1000.000000348		1199.999953118		0.000032174		0.000027285		0.000000206		0.000000334		-0.000000118		
0.580000000		0.523708340		1.745329252		1000.000000670		1199.999949759		0.000034550		0.000025620		0.000000210		0.000000352		-0.000000128		
0.590000000		0.523710229		1.745329252		1000.000001015		1199.999945658		0.000036122		0.000023984		0.000000209		0.000000368		-0.000000143		
0.600000000		0.523712118		1.745329252		1000.000001377		1199.999944288		0.000038340		0.000024288		0.000000212		0.000000387		-0.000000163		
0.610000000		0.523714007		1.745329252		1000.000001760		1199.999941474		0.000040287		0.000023494		0.000000217		0.000000404		-0.000000174		
0.620000000		0.523715897		1.745329252		1000.000002163		1199.999938678		0.000040446		0.000022693		0.000000216		0.000000417		-0.000000183		
0.630000000		0.523717786		1.745329252		1000.000002567		1199.999935444		0.000039973		0.000021192		0.000000216		0.000000430		-0.000000195		
